ID,age,gender,age_range,state,region,employment_status,ethnicity,children,children_0-4,children_5-9,children_10-13,children_14-18,children_19-25,children_26-over,children_unknown,income,home_entertainment_equipment_flat_panel_tv,home_entertainment_equipment_dvr,home_entertainment_equipment_streaming_box,home_entertainment_equipment_streaming_fob,home_entertainment_equipment_tv_antenna,home_entertainment_equipment_bluray_dvd_player,home_entertainment_equipment_gaming_console,home_entertainment_equipment_portable_game_console,home_entertainment_equipment_router,home_entertainment_equipment_desktop,home_entertainment_equipment_laptop,home_entertainment_equipment_tablet,home_entertainment_equipment_e-reader,home_entertainment_equipment_smartphone,home_entertainment_equipment_mobile_phone,home_entertainment_equipment_smartwatch,home_entertainment_equipment_fitness_band,home_entertainment_equipment_vr_headset,home_entertainment_equipment_drone,home_entertainment_equipment_none,home_entertainment_equipment_unknown,plan_to_purchase_flat_panel_tv,plan_to_purchase_dvr,plan_to_purchase_streaming_box,plan_to_purchase_streaming_fob,plan_to_purchase_tv_antenna,plan_to_purchase_bluray_dvd_player,plan_to_purchase_gaming_console,plan_to_purchase_portable_game_console,plan_to_purchase_router,plan_to_purchase_desktop,plan_to_purchase_laptop,plan_to_purchase_tablet,plan_to_purchase_e-reader,plan_to_purchase_smartphone,plan_to_purchase_mobile_phone,plan_to_purchase_smartwatch,plan_to_purchase_fitness_band,plan_to_purchase_vr_headset,plan_to_purchase_drone,plan_to_purchase_none,plan_to_purchase_unknown,rank_product_flat_panel_tv,rank_product_dvr,rank_product_streaming_box,rank_product_streaming_fob,rank_product_tv_antenna,rank_product_bluray_dvd_player,rank_product_gaming_console,rank_product_portable_game_console,rank_product_router,rank_product_desktop,rank_product_laptop,rank_product_tablet,rank_product_e-reader,rank_product_smartphone,rank_product_mobile_phone,rank_product_smartwatch,rank_product_fitness_band,rank_product_vr_headset,rank_product_drone,rank_product_placeholder,pct_watch_movies_smartphone,pct_watch_movies_tablet,pct_watch_movies_computer,pct_watch_movies_television,pct_watch_sports_smartphone,pct_watch_sports_tablet,pct_watch_sports_computer,pct_watch_sports_television,pct_watch_tv_smartphone,pct_watch_tv_tablet,pct_watch_tv_computer,pct_watch_tv_television,app_type_photo,app_type_banking,app_type_fitness_band,app_type_food,app_type_retail,app_type_navigation,app_type_social,app_type_reading,app_type_music,app_type_video,app_type_review,app_type_news_consolidator,app_type_newspaper,app_type_magezine,app_type_utilities,app_type_qr_scanner,app_type_travel,app_type_transportation,app_type_location,app_type_language,app_type_movie,app_type_business,app_type_games,app_type_productivity,app_type_sports,app_type_weather,app_type_browser,app_type_voip,app_type_dating,app_type_messaging,app_type_payment,app_type_education,app_type_tickets,app_type_reservations,app_type_special_interest,app_type_none,app_type_unknown,subscriber_cable,subscriber_internet,subscriber_landline,subscriber_voice,subscriber_data,subscriber_streaming_video,subscriber_streaming_music,subscriber_gaming,subscriber_newspaper,subscriber_magezine,subscriber_none,subscriber_unknown,rank_services_cable,rank_services_internet,rank_services_landline,rank_services_voice,rank_services_data,rank_services_streaming_video,rank_services_streaming_music,rank_services_gaming,rank_services_newspaper,rank_services_magezine,amt_willing_to_double_internet_speed,rank_entertainment_live_performance,rank_entertainment_movies,rank_entertainment_tv,rank_entertainment_music,rank_entertainment_books,rank_entertainment_magezines,rank_entertainment_news,rank_entertainment_radio,rank_entertainment_video_games,rank_entertainment_internet,watch_movies_rent_physical,watch_movies_purchase_physical,watch_movies_purchase_digital,watch_movies_rent_digitial,watch_movies_stream_digitial,watch_movies_pay_per_view,watch_tv_rent_physical,watch_tv_purchase_physical,watch_tv_purchase_digital,watch_tv_stream_digitial,watch_tv_pay_per_view,binge_watch,password_sharing_freq,password_sharing_content,activity_while_watching_tv_work,activity_while_watching_tv_reading,activity_while_watching_tv_web,activity_while_watching_tv_twitter,activity_while_watching_tv_read_email,activity_while_watching_tv_write_email,activity_while_watching_tv_text,activity_while_watching_tv_social_network,activity_while_watching_tv_phone,activity_while_watching_tv_browse_products,activity_while_watching_tv_purchase_products,activity_while_watching_tv_video_games,willing_to_pay_no_ads_news,willing_to_pay_no_ads_sports,willing_to_pay_no_ads_games,willing_to_pay_no_ads_music,willing_to_pay_no_ads_tv,willing_to_pay_no_ads_movies,target_ads,worried_identity_theft,ads_cheaper_subscription,news_source,final_weights
935,51,Female,51-69,Florida,South,Employed full-time or part-time,White or Caucasian (Non-Hispanic),1,0,0,0,1,0,0,0,"$30,000 to $49,999",1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,935,935,935,935,935,935,935,935,935,935,935,935,935,935,935,935,935,935,935,935,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,935,935,935,935,935,935,935,935,935,935,N/A,935,935,935,935,935,935,935,935,935,935,Rarely (one to three times a year),Never,Never,Never,Never,Rarely (one to three times a year),Never,Rarely (one to three times a year),Never,Never,Rarely (one to three times a year),0,Never,N/A,Almost never,Almost never,Almost never,Almost never,Frequently (between 50% and 75% of the time),Almost never,Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Frequently (between 50% and 75% of the time),Almost never,Almost never,Almost never,Disagree strongly,Disagree strongly,N/A; I do not have a basis to answer,Disagree strongly,Disagree strongly,Disagree strongly,Disagree somewhat,Agree somewhat,N/A; I do not have a basis to answer,Television news stations,0.420469178306609
942,33,Female,27-33,Florida,South,Employed full-time or part-time,White or Caucasian (Non-Hispanic),1,1,0,0,0,0,0,0,"$50,000 to $99,999",1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,942,942,942,942,942,942,942,942,942,942,942,942,942,942,942,942,942,942,942,942,0,10,0,90,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,942,942,942,942,942,942,942,942,942,942,N/A,942,942,942,942,942,942,942,942,942,942,Frequently (every day/weekly),Rarely (one to three times a year),Occasionally (monthly),Occasionally (monthly),Occasionally (monthly),Rarely (one to three times a year),Rarely (one to three times a year),Occasionally (monthly),Rarely (one to three times a year),Rarely (one to three times a year),Occasionally (monthly),1,Occasionally (monthly),Movies,Frequently (between 50% and 75% of the time),Almost always (greater than 75% of the time),Rarely (10%-50% of the time),Rarely (10%-50% of the time),Almost never,Rarely (10%-50% of the time),Rarely (10%-50% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Almost never,Frequently (between 50% and 75% of the time),Disagree strongly,Disagree somewhat,Agree somewhat,Agree somewhat,Agree strongly,Disagree somewhat,Disagree somewhat,Disagree strongly,Agree somewhat,Magazine,0.2080754661174507
933,36,Male,34-50,New York,Northeast,Self-employed,White or Caucasian (Non-Hispanic),1,0,0,0,1,0,0,0,"$100,000 to $299,999",1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,933,933,933,933,933,933,933,933,933,933,933,933,933,933,933,933,933,933,933,933,10,10,30,50,10,10,10,70,10,10,30,50,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,933,933,933,933,933,933,933,933,933,933,I am willing to pay $10 per month on top of what I already pay,933,933,933,933,933,933,933,933,933,933,Rarely (one to three times a year),Occasionally (monthly),Occasionally (monthly),Rarely (one to three times a year),Occasionally (monthly),Occasionally (monthly),Rarely (one to three times a year),Occasionally (monthly),Occasionally (monthly),Occasionally (monthly),Occasionally (monthly),1,Rarely (one to three times a year),N/A,Almost never,Almost never,Rarely (10%-50% of the time),Rarely (10%-50% of the time),Rarely (10%-50% of the time),Almost never,Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Rarely (10%-50% of the time),Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Television news stations,1.221337587893974
930,34,Female,34-50,Pennsylvania,Northeast,Employed full-time or part-time,White or Caucasian (Non-Hispanic),1,0,0,1,0,0,0,0,"$30,000 to $49,999",1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,0,0,80,20,0,0,0,100,0,0,100,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,930,930,930,930,930,930,930,930,930,930,I am willing to pay $10 per month on top of what I already pay,930,930,930,930,930,930,930,930,930,930,Occasionally (monthly),Rarely (one to three times a year),Never,Rarely (one to three times a year),Frequently (every day/weekly),Rarely (one to three times a year),Occasionally (monthly),Rarely (one to three times a year),Never,Frequently (every day/weekly),Never,1,Frequently (every day/weekly),Television programming,Almost never,Almost never,Always (close to 100% of the time),Almost never,Almost always (greater than 75% of the time),Rarely (10%-50% of the time),Always (close to 100% of the time),Always (close to 100% of the time),Frequently (between 50% and 75% of the time),Always (close to 100% of the time),Almost always (greater than 75% of the time),Frequently (between 50% and 75% of the time),N/A; I do not have a basis to answer,N/A; I do not have a basis to answer,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Agree strongly,Social media sites,2.317886549222232
937,30,Female,27-33,New York,Northeast,Employed full-time or part-time,"South Asian (India, Pakistan, Sri Lanka)",0,0,0,0,0,0,0,0,"$100,000 to $299,999",0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,937,937,937,937,937,937,937,937,937,937,N/A,937,937,937,937,937,937,937,937,937,937,Occasionally (monthly),Occasionally (monthly),Frequently (every day/weekly),Occasionally (monthly),Frequently (every day/weekly),Frequently (every day/weekly),Frequently (every day/weekly),Frequently (every day/weekly),Frequently (every day/weekly),Occasionally (monthly),Occasionally (monthly),1,Frequently (every day/weekly),Movies,Always (close to 100% of the time),Always (close to 100% of the time),Almost always (greater than 75% of the time),Always (close to 100% of the time),Always (close to 100% of the time),Almost always (greater than 75% of the time),Always (close to 100% of the time),Always (close to 100% of the time),Almost always (greater than 75% of the time),Always (close to 100% of the time),Always (close to 100% of the time),Frequently (between 50% and 75% of the time),Agree strongly,Agree somewhat,Agree somewhat,Agree strongly,Agree strongly,Agree strongly,Agree somewhat,Agree strongly,Agree somewhat,Social media sites,0.3501026141500647
943,36,Female,34-50,Oregon,West,Employed full-time or part-time,White or Caucasian (Non-Hispanic),1,1,1,0,0,1,0,0,"$100,000 to $299,999",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,943,943,943,943,943,943,943,943,943,943,943,943,943,943,943,943,943,943,943,943,0,50,50,0,0,50,50,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,943,943,943,943,943,943,943,943,943,943,I am willing to pay $5 per month on top of what I already pay,943,943,943,943,943,943,943,943,943,943,Frequently (every day/weekly),Frequently (every day/weekly),Frequently (every day/weekly),Frequently (every day/weekly),Frequently (every day/weekly),Frequently (every day/weekly),Frequently (every day/weekly),Frequently (every day/weekly),Frequently (every day/weekly),Frequently (every day/weekly),Frequently (every day/weekly),1,Frequently (every day/weekly),Television programming,Always (close to 100% of the time),Always (close to 100% of the time),Always (close to 100% of the time),Always (close to 100% of the time),Always (close to 100% of the time),Always (close to 100% of the time),Always (close to 100% of the time),Always (close to 100% of the time),Always (close to 100% of the time),Always (close to 100% of the time),Always (close to 100% of the time),Always (close to 100% of the time),Agree somewhat,Agree strongly,Agree strongly,Agree somewhat,Agree strongly,Agree strongly,Agree somewhat,Agree strongly,Agree somewhat,Online version of newspapers,0.9169907268650498
929,31,Female,27-33,Tennessee,South,Employed full-time or part-time,White or Caucasian (Non-Hispanic),1,1,1,0,0,0,0,0,"Less than $29,999",1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,929,929,929,929,929,929,929,929,929,929,929,929,929,929,929,929,929,929,929,929,0,0,0,100,0,0,0,0,0,0,0,100,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,929,929,929,929,929,929,929,929,929,929,N/A,929,929,929,929,929,929,929,929,929,929,Occasionally (monthly),Occasionally (monthly),Never,Rarely (one to three times a year),Rarely (one to three times a year),Rarely (one to three times a year),Occasionally (monthly),Occasionally (monthly),Never,Occasionally (monthly),Occasionally (monthly),1,Never,N/A,Rarely (10%-50% of the time),Almost never,Almost never,Almost never,Almost never,Almost never,Almost always (greater than 75% of the time),Rarely (10%-50% of the time),Frequently (between 50% and 75% of the time),Almost never,Rarely (10%-50% of the time),Almost never,N/A; I do not have a basis to answer,N/A; I do not have a basis to answer,N/A; I do not have a basis to answer,N/A; I do not have a basis to answer,N/A; I do not have a basis to answer,N/A; I do not have a basis to answer,N/A; I do not have a basis to answer,N/A; I do not have a basis to answer,N/A; I do not have a basis to answer,I do not follow the news,0.9765197182930102
936,36,Female,34-50,Georgia,South,Employed full-time or part-time,White or Caucasian (Non-Hispanic),0,0,0,0,0,0,0,0,"$100,000 to $299,999",0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,936,936,936,936,936,936,936,936,936,936,936,936,936,936,936,936,936,936,936,936,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,936,936,936,936,936,936,936,936,936,936,I am willing to pay $10 per month on top of what I already pay,936,936,936,936,936,936,936,936,936,936,Rarely (one to three times a year),Rarely (one to three times a year),Never,Never,Never,Never,Rarely (one to three times a year),Rarely (one to three times a year),Never,Never,Never,0,Never,N/A,Almost never,Almost never,Almost always (greater than 75% of the time),Almost never,Rarely (10%-50% of the time),Almost never,Frequently (between 50% and 75% of the time),Almost never,Rarely (10%-50% of the time),Almost always (greater than 75% of the time),Almost never,Almost never,Disagree strongly,Agree somewhat,Disagree somewhat,N/A; I do not have a basis to answer,Agree somewhat,N/A; I do not have a basis to answer,Disagree strongly,Agree somewhat,N/A; I do not have a basis to answer,Radio,1.154798321164877
934,35,Female,34-50,Oregon,West,Unemployed,White or Caucasian (Non-Hispanic),1,1,0,0,0,0,0,0,"Less than $29,999",1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,934,934,934,934,934,934,934,934,934,934,934,934,934,934,934,934,934,934,934,934,0,0,5,95,0,0,0,0,0,0,5,95,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,934,934,934,934,934,934,934,934,934,934,N/A,934,934,934,934,934,934,934,934,934,934,Frequently (every day/weekly),Rarely (one to three times a year),Never,Rarely (one to three times a year),Frequently (every day/weekly),Never,Never,Never,Never,Frequently (every day/weekly),Never,1,Never,N/A,Almost never,Rarely (10%-50% of the time),Frequently (between 50% and 75% of the time),Almost never,Frequently (between 50% and 75% of the time),Rarely (10%-50% of the time),Rarely (10%-50% of the time),Frequently (between 50% and 75% of the time),Rarely (10%-50% of the time),Rarely (10%-50% of the time),Rarely (10%-50% of the time),Almost never,Disagree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Agree somewhat,Agree somewhat,Disagree strongly,Disagree somewhat,Agree strongly,Social media sites,0.5803195745369691
926,29,Female,27-33,Texas,South,Unemployed,White or Caucasian (Non-Hispanic),1,0,0,1,0,0,0,0,"Less than $29,999",1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,926,926,926,926,926,926,926,926,926,926,926,926,926,926,926,926,926,926,926,926,0,0,0,100,5,0,0,95,0,0,0,100,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,926,926,926,926,926,926,926,926,926,926,I am willing to pay $5 per month on top of what I already pay,926,926,926,926,926,926,926,926,926,926,Rarely (one to three times a year),Occasionally (monthly),Rarely (one to three times a year),Never,Frequently (every day/weekly),Occasionally (monthly),Never,Occasionally (monthly),Never,Frequently (every day/weekly),Occasionally (monthly),1,Occasionally (monthly),Movies,Almost never,Rarely (10%-50% of the time),Frequently (between 50% and 75% of the time),Rarely (10%-50% of the time),Frequently (between 50% and 75% of the time),Rarely (10%-50% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Almost never,Frequently (between 50% and 75% of the time),Rarely (10%-50% of the time),Frequently (between 50% and 75% of the time),Disagree strongly,Disagree strongly,Disagree somewhat,Disagree strongly,N/A; I do not have a basis to answer,Disagree strongly,Disagree strongly,Agree somewhat,N/A; I do not have a basis to answer,Television news stations,4.399786419095617
939,65,Male,51-69,Florida,South,Retired,White or Caucasian (Non-Hispanic),0,0,0,0,0,0,0,0,"$30,000 to $49,999",1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939,939,939,939,939,939,939,939,939,939,939,939,939,939,939,939,939,939,939,939,0,5,0,95,0,5,0,95,0,5,0,95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,939,939,939,939,939,939,939,939,939,939,N/A,939,939,939,939,939,939,939,939,939,939,Rarely (one to three times a year),Never,Never,Occasionally (monthly),Occasionally (monthly),Never,Rarely (one to three times a year),Never,Never,Occasionally (monthly),Never,1,Occasionally (monthly),Television programming,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree somewhat,Disagree somewhat,Disagree strongly,Disagree strongly,Radio,0.1070932701381241
925,53,Female,51-69,Virginia,South,Employed full-time or part-time,White or Caucasian (Non-Hispanic),1,0,1,0,0,0,0,0,"$100,000 to $299,999",1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,10,0,30,60,15,0,0,85,10,0,15,75,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,925,925,925,925,925,925,925,925,925,925,I am willing to pay $5 per month on top of what I already pay,925,925,925,925,925,925,925,925,925,925,Rarely (one to three times a year),Rarely (one to three times a year),Occasionally (monthly),Never,Rarely (one to three times a year),Rarely (one to three times a year),Rarely (one to three times a year),Rarely (one to three times a year),Never,Rarely (one to three times a year),Occasionally (monthly),1,Never,N/A,Rarely (10%-50% of the time),Frequently (between 50% and 75% of the time),Almost always (greater than 75% of the time),Almost never,Almost always (greater than 75% of the time),Rarely (10%-50% of the time),Almost always (greater than 75% of the time),Almost never,Rarely (10%-50% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Almost never,Disagree strongly,Disagree strongly,N/A; I do not have a basis to answer,N/A; I do not have a basis to answer,Disagree strongly,Disagree somewhat,Agree somewhat,Agree somewhat,Agree strongly,Television news stations,1.657211812197592
940,20,Female,20-26,Florida,South,Employed full-time or part-time,White or Caucasian (Non-Hispanic),1,1,0,0,0,0,0,0,"$50,000 to $99,999",0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,940,15,0,85,0,30,0,70,0,10,0,90,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,940,940,940,940,940,940,940,940,940,940,I am willing to pay $20 per month on top of what I already pay,940,940,940,940,940,940,940,940,940,940,Never,Frequently (every day/weekly),Rarely (one to three times a year),Occasionally (monthly),Frequently (every day/weekly),Never,Never,Frequently (every day/weekly),Never,Occasionally (monthly),Never,0,Occasionally (monthly),Television programming,Almost never,Almost always (greater than 75% of the time),Rarely (10%-50% of the time),Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Always (close to 100% of the time),Almost always (greater than 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Almost always (greater than 75% of the time),Disagree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Magazine,0.4537822749985923
941,35,Male,34-50,New York,Northeast,Employed full-time or part-time,White or Caucasian (Non-Hispanic),1,0,1,0,1,0,0,0,"$100,000 to $299,999",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,941,30,0,30,40,25,0,40,35,50,0,35,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,941,941,941,941,941,941,941,941,941,941,N/A,941,941,941,941,941,941,941,941,941,941,Frequently (every day/weekly),Occasionally (monthly),Occasionally (monthly),Rarely (one to three times a year),Occasionally (monthly),Occasionally (monthly),Occasionally (monthly),Occasionally (monthly),Rarely (one to three times a year),Occasionally (monthly),Rarely (one to three times a year),1,Occasionally (monthly),Sporting events,Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Almost always (greater than 75% of the time),Almost always (greater than 75% of the time),Frequently (between 50% and 75% of the time),Almost always (greater than 75% of the time),Rarely (10%-50% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree strongly,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Print newspapers,0.6155466301566662
927,33,Male,27-33,Ohio,Midwest,Employed full-time or part-time,African American,1,1,0,0,0,0,0,0,"$30,000 to $49,999",0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,40,0,60,0,50,0,50,0,30,0,70,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,927,927,927,927,927,927,927,927,927,927,I am willing to pay $10 per month on top of what I already pay,927,927,927,927,927,927,927,927,927,927,Rarely (one to three times a year),Rarely (one to three times a year),Rarely (one to three times a year),Rarely (one to three times a year),Frequently (every day/weekly),Rarely (one to three times a year),Rarely (one to three times a year),Occasionally (monthly),Rarely (one to three times a year),Frequently (every day/weekly),Rarely (one to three times a year),1,Never,N/A,Almost never,Almost never,Rarely (10%-50% of the time),Rarely (10%-50% of the time),Frequently (between 50% and 75% of the time),Rarely (10%-50% of the time),Frequently (between 50% and 75% of the time),Frequently (between 50% and 75% of the time),Rarely (10%-50% of the time),Frequently (between 50% and 75% of the time),Rarely (10%-50% of the time),Almost never,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree strongly,Social media sites,0.5810000164828502
938,61,Male,51-69,Delaware,South,Retired,White or Caucasian (Non-Hispanic),1,0,0,0,1,1,0,0,"$30,000 to $49,999",1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,10,0,45,45,20,0,30,50,10,0,30,60,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,938,938,938,938,938,938,938,938,938,938,I am willing to pay $5 per month on top of what I already pay,938,938,938,938,938,938,938,938,938,938,Occasionally (monthly),Occasionally (monthly),Occasionally (monthly),Frequently (every day/weekly),Occasionally (monthly),Occasionally (monthly),Rarely (one to three times a year),Occasionally (monthly),Occasionally (monthly),Occasionally (monthly),Rarely (one to three times a year),1,Occasionally (monthly),Sporting events,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Rarely (10%-50% of the time),Almost never,Almost never,Almost never,Almost never,Almost never,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree somewhat,Disagree strongly,Disagree strongly,Agree somewhat,Disagree somewhat,Television news stations,3.853964954766997
